> [{cost: 87, cost_one: 1, cost_two: 3, cost_comp: 87, temperature: 810.000000}]
> [{cost: 9, cost_one: 1, cost_two: 3, cost_comp: 11, temperature: 0.003300}]
> [{cost: 9, cost_one: 0, cost_two: 3, cost_comp: 12, temperature: 0.003289}]
> [{cost: 9, cost_one: 1, cost_two: 4, cost_comp: 12, temperature: 0.003278}]
> [{cost: 9, cost_one: 0, cost_two: 3, cost_comp: 12, temperature: 0.003268}]
> [{cost: 9, cost_one: 1, cost_two: 3, cost_comp: 11, temperature: 0.003257}]
> [{cost: 9, cost_one: 0, cost_two: 3, cost_comp: 12, temperature: 0.003246}]
> [{cost: 9, cost_one: 0, cost_two: 3, cost_comp: 12, temperature: 0.003236}]
> [{cost: 9, cost_one: 1, cost_two: 2, cost_comp: 10, temperature: 0.003225}]
> [{cost: 9, cost_one: 0, cost_two: 2, cost_comp: 11, temperature: 0.003215}]
> [{cost: 9, cost_one: 0, cost_two: 3, cost_comp: 12, temperature: 0.003205}]
> [{cost: 9, cost_one: 1, cost_two: 3, cost_comp: 11, temperature: 0.003194}]
> [{cost: 9, cost_one: 0, cost_two: 3, cost_comp: 12, temperature: 0.003184}]
> [{cost: 9, cost_one: 0, cost_two: 3, cost_comp: 12, temperature: 0.003174}]
> [{cost: 9, cost_one: 0, cost_two: 3, cost_comp: 12, temperature: 0.003164}]
> [{cost: 9, cost_one: 0, cost_two: 3, cost_comp: 12, temperature: 0.003154}]
> [{cost: 9, cost_one: 0, cost_two: 3, cost_comp: 12, temperature: 0.003144}]
> [{cost: 9, cost_one: 0, cost_two: 2, cost_comp: 11, temperature: 0.003134}]
> [{cost: 9, cost_one: 0, cost_two: 4, cost_comp: 13, temperature: 0.003125}]
> [{cost: 9, cost_one: 1, cost_two: 2, cost_comp: 10, temperature: 0.003115}]
> [{cost: 9, cost_one: 0, cost_two: 3, cost_comp: 12, temperature: 0.003105}]
> [{cost: 9, cost_one: 0, cost_two: 3, cost_comp: 12, temperature: 0.003096}]
> [{cost: 9, cost_one: 0, cost_two: 4, cost_comp: 13, temperature: 0.003086}]
> [{cost: 9, cost_one: 0, cost_two: 4, cost_comp: 13, temperature: 0.003077}]
> [{cost: 9, cost_one: 1, cost_two: 3, cost_comp: 11, temperature: 0.003067}]
> [{cost: 9, cost_one: 0, cost_two: 3, cost_comp: 12, temperature: 0.003058}]
> [{cost: 9, cost_one: 0, cost_two: 3, cost_comp: 12, temperature: 0.003048}]
> [{cost: 9, cost_one: 0, cost_two: 3, cost_comp: 12, temperature: 0.003039}]
> [{cost: 9, cost_one: 0, cost_two: 4, cost_comp: 13, temperature: 0.003030}]
> [{cost: 9, cost_one: 0, cost_two: 3, cost_comp: 12, temperature: 0.003021}]
